iter	Passed	Remaining
645	3246	1779
646	3251	1774
647	3256	1768
648	3261	1763
649	3265	1758
650	3272	1754
651	3277	1749
652	3284	1745
653	3289	1740
654	3295	1735
655	3303	1732
656	3308	1727
657	3313	1722
658	3318	1717
659	3323	1712
660	3332	1708
661	3336	1703
662	3341	1698
663	3346	1693
664	3351	1688
665	3356	1683
666	3360	1677
667	3365	1672
668	3370	1667
669	3375	1662
670	3379	1657
671	3384	1651
672	3389	1646
673	3394	1641
674	3398	1636
675	3403	1631
676	3408	1626
677	3413	1620
678	3417	1615
679	3423	1610
680	3429	1606
681	3434	1601
682	3438	1596
683	3443	1590
684	3448	1585
685	3453	1580
686	3457	1575
687	3462	1570
688	3467	1565
689	3472	1560
690	3478	1555
691	3483	1550
692	3488	1545
693	3493	1540
694	3498	1535
695	3502	1530
696	3507	1524
697	3512	1519
698	3517	1514
699	3523	1509
700	3528	1505
701	3533	1500
702	3538	1494
703	3542	1489
704	3547	1484
705	3552	1479
706	3557	1474
707	3562	1469
708	3566	1464
709	3571	1458
710	3576	1453
711	3581	1448
712	3586	1443
713	3590	1438
714	3595	1433
715	3600	1428
716	3605	1423
717	3610	1417
718	3615	1412
719	3620	1407
720	3625	1402
721	3629	1397
722	3638	1394
723	3643	1388
724	3647	1383
725	3652	1378
726	3657	1373
727	3662	1368
728	3667	1363
729	3671	1358
730	3676	1352
731	3680	1347
732	3685	1342
733	3690	1337
734	3694	1332
735	3699	1327
736	3704	1321
737	3709	1316
738	3713	1311
739	3719	1306
740	3725	1302
741	3730	1297
742	3734	1291
743	3739	1286
744	3744	1281
745	3748	1276
746	3753	1271
747	3758	1266
748	3763	1261
749	3768	1256
750	3772	1250
751	3777	1245
752	3782	1240
753	3786	1235
754	3791	1230
755	3796	1225
756	3801	1220
757	3806	1215
758	3811	1210
759	3820	1206
760	3825	1201
761	3830	1196
762	3835	1191
763	3839	1186
764	3844	1181
765	3849	1175
766	3854	1170
767	3858	1165
768	3863	1160
769	3868	1155
770	3873	1150
771	3877	1145
772	3882	1140
773	3887	1135
774	3891	1129
775	3896	1124
776	3901	1119
777	3906	1114
778	3910	1109
779	3915	1104
780	3922	1099
781	3926	1094
782	3931	1089
783	3936	1084
784	3941	1079
785	3946	1074
786	3950	1069
787	3955	1064
788	3960	1059
789	3964	1053
790	3969	1048
791	3974	1043
792	3979	1038
793	3983	1033
794	3988	1028
795	3993	1023
796	3998	1018
797	4002	1013
798	4007	1008
799	4012	1003
800	4020	998
801	4026	994
802	4031	988
803	4036	983
804	4040	978
805	4045	973
806	4050	968
807	4054	963
808	4059	958
809	4063	953
810	4068	948
811	4073	943
812	4078	938
813	4083	933
814	4088	927
815	4092	922
816	4097	917
817	4102	912
818	4107	907
819	4112	902
820	4123	898
821	4129	894
822	4134	889
823	4139	884
824	4143	878
825	4148	873
826	4153	868
827	4157	863
828	4162	858
829	4167	853
830	4172	848
831	4179	843
832	4185	839
833	4190	834
834	4194	828
835	4199	823
836	4204	818
837	4208	813
838	4221	809
839	4225	804
840	4230	799
841	4236	794
842	4241	789
843	4245	784
844	4250	779
845	4254	774
846	4259	769
847	4264	764
848	4268	759
849	4273	754
850	4277	749
851	4282	743
852	4287	738
853	4292	733
854	4296	728
855	4301	723
856	4306	718
857	4312	713
858	4317	708
859	4322	703
860	4327	698
861	4331	693
862	4336	688
863	4341	683
864	4345	678
865	4350	673
866	4355	668
867	4359	662
868	4364	657
869	4369	652
870	4373	647
871	4378	642
872	4382	637
873	4387	632
874	4391	627
875	4396	622
876	4401	617
877	4405	612
878	4413	607
879	4417	602
880	4422	597
881	4427	592
882	4432	587
883	4436	582
884	4441	577
885	4446	572
886	4450	566
887	4455	561
888	4459	556
889	4464	551
890	4469	546
891	4474	541
892	4479	536
893	4483	531
894	4488	526
895	4493	521
896	4497	516
897	4503	511
898	4508	506
899	4513	501
900	4518	496
901	4523	491
902	4528	486
903	4532	481
904	4537	476
905	4542	471
906	4547	466
907	4552	461
908	4557	456
909	4561	451
910	4566	446
911	4571	441
912	4576	436
913	4580	431
914	4585	425
915	4590	420
916	4594	415
917	4599	410
918	4604	405
919	4609	400
920	4613	395
921	4620	390
922	4626	385
923	4631	380
924	4636	375
925	4641	370
926	4646	365
927	4651	360
928	4656	355
929	4660	350
930	4665	345
931	4670	340
932	4674	335
933	4679	330
934	4684	325
935	4689	320
936	4694	315
937	4699	310
938	4707	305
939	4712	300
940	4717	295
941	4724	290
942	4729	285
943	4734	280
944	4738	275
945	4743	270
946	4748	265
947	4753	260
948	4758	255
949	4763	250
950	4767	245
951	4772	240
952	4777	235
953	4781	230
954	4786	225
955	4791	220
956	4796	215
957	4800	210
958	4809	205
959	4814	200
960	4819	195
961	4823	190
962	4828	185
963	4833	180
964	4837	175
965	4842	170
966	4847	165
967	4852	160
968	4856	155
969	4861	150
970	4866	145
971	4871	140
972	4875	135
973	4880	130
974	4885	125
975	4890	120
976	4894	115
977	4899	110
978	4903	105
979	4908	100
980	4913	95
981	4917	90
982	4924	85
983	4929	80
984	4933	75
985	4938	70
986	4943	65
987	4948	60
988	4952	55
989	4957	50
990	4961	45
991	4966	40
992	4971	35
993	4976	30
994	4980	25
995	4985	20
996	4990	15
997	4995	10
998	5000	5
999	5006	0
